Player Name,Course Name,Year Played,Date Completed,Round 1 Score,Round 2 Score,Round 3 Score,Round 4 Score,Round 1 SG Total,Round 2 SG Total,Round 3 SG Total,Round 4 SG Total,Round 1 SG App,Round 2 SG App,Round 3 SG App,Round 4 SG App,Round 1 SG Arg,Round 2 SG Arg,Round 3 SG Arg,Round 4 SG Arg,Round 1 SG Putt,Round 2 SG Putt,Round 3 SG Putt,Round 4 SG Putt,Round 1 Driving Distance,Round 2 Driving Distance,Round 3 Driving Distance,Round 4 Driving Distance,Round 1 Driving Accuracy,Round 2 Driving Accuracy,Round 3 Driving Accuracy,Round 4 Driving Accuracy
"Johnson, Zach",Torrey Pines (South),2021,2021-06-20,75,73,,,-1.282,0.787,,,0.62,-0.62,,,1.09,-0.17,,,-1.49,0.78,,,285.2,294.2,,,0.643,0.714,,
"Ortiz, Carlos",Torrey Pines (South),2021,2021-06-20,75,73,,,-1.282,0.787,,,-1.75,2.22,,,-1.14,-0.45,,,0.67,-1.2,,,310.4,307.1,,,0.643,0.429,,
"Hatton, Tyrrell",Torrey Pines (South),2021,2021-06-20,70,78,,,3.718,-4.213,,,0.78,-2.94,,,2.05,1.66,,,1.08,-3.5,,,310.5,310.7,,,0.286,0.357,,
"Conners, Corey",Torrey Pines (South),2021,2021-06-20,75,73,,,-1.282,0.787,,,-1.52,0.31,,,0.78,2.48,,,-1.97,-2.31,,,304.9,297.7,,,0.714,0.571,,
"Veerman, Johannes",Torrey Pines (South),2021,2021-06-20,73,75,,,0.718,-1.213,,,-0.49,-2.35,,,0.32,-0.28,,,1.49,1.57,,,303.9,307.2,,,0.214,0.357,,
"Wallace, Matt",Torrey Pines (South),2021,2021-06-20,74,74,,,-0.282,-0.213,,,-1.59,-0.17,,,0.45,2.09,,,0.62,-2.24,,,308.0,306.3,,,0.5,0.5,,
"Munoz, Sebastian",Torrey Pines (South),2021,2021-06-20,71,77,,,2.718,-3.213,,,0.68,2.29,,,2.47,-0.93,,,0.32,-3.28,,,295.0,294.3,,,0.286,0.357,,
"Higgo, Garrick",Torrey Pines (South),2021,2021-06-20,76,72,,,-2.282,1.787,,,0.18,0.06,,,-1.68,0.4,,,-1.57,0.14,,,309.5,317.6,,,0.429,0.5,,
"Osborne, Ollie",Torrey Pines (South),2021,2021-06-20,76,72,,,-2.282,1.787,,,-0.17,1.12,,,-2.15,0.89,,,-1.06,-1.17,,,323.8,317.3,,,0.429,0.357,,
"Ralston, Spencer",Torrey Pines (South),2021,2021-06-20,75,73,,,-1.282,0.787,,,-1.41,-0.92,,,0.11,0.55,,,0.86,0.81,,,291.0,298.4,,,0.429,0.429,,
"Horschel, Billy",Torrey Pines (South),2021,2021-06-20,74,75,,,-0.282,-1.213,,,2.24,0.52,,,0.09,-1.47,,,-3.23,-1.3,,,297.4,304.4,,,0.643,0.714,,
"Todd, Brendon",Torrey Pines (South),2021,2021-06-20,78,71,,,-4.282,2.787,,,-1.83,0.97,,,1.24,-0.18,,,-2.64,2.64,,,273.8,274.0,,,0.643,0.786,,
"Sucher, Zack",Torrey Pines (South),2021,2021-06-20,75,74,,,-1.282,-0.213,,,-0.13,0.1,,,1.2,-0.14,,,-1.4,0.68,,,288.2,295.6,,,0.357,0.357,,
