Player Name,Course Name,Year Played,Date Completed,Round Score,Round SG Total,Round SG App,Round SG Arg,Round SG Putt,Round Driving Distance,Round Driving Accuracy
"Griffin, Lanto",Torrey Pines (South),2021,2021-06-20,69,3.408,2.93,1.91,-0.7,298.4,0.429
"Griffin, Lanto",Torrey Pines (South),2021,2021-06-20,75,-1.831,-1.71,-1.79,1.54,303.3,0.429
"Im, Sungjae",Torrey Pines (South),2021,2021-06-20,72,1.718,0.69,-0.06,0.52,300.9,0.571
"Im, Sungjae",Torrey Pines (South),2021,2021-06-20,72,1.787,-1.9,1.14,1.61,303.4,0.714
"Im, Sungjae",Torrey Pines (South),2021,2021-06-20,69,3.408,2.29,1.13,0.58,290.4,0.5
"Im, Sungjae",Torrey Pines (South),2021,2021-06-20,76,-2.831,0.13,-0.97,-1.09,296.4,0.429
"MacIntyre, Robert",Torrey Pines (South),2021,2021-06-20,71,2.718,2.84,-0.01,-0.65,303.8,0.571
"MacIntyre, Robert",Torrey Pines (South),2021,2021-06-20,73,0.787,-0.55,0.66,0.6,305.1,0.429
"MacIntyre, Robert",Torrey Pines (South),2021,2021-06-20,72,0.408,0.05,2.31,-1.09,299.7,0.429
"MacIntyre, Robert",Torrey Pines (South),2021,2021-06-20,73,0.169,0.21,-1.05,-0.13,315.2,0.571
"Poulter, Ian",Torrey Pines (South),2021,2021-06-20,74,-0.282,-1.44,-0.78,1.23,290.9,0.786
"Poulter, Ian",Torrey Pines (South),2021,2021-06-20,71,2.787,1.54,0.5,1.43,294.4,0.429
"Poulter, Ian",Torrey Pines (South),2021,2021-06-20,68,4.408,0.08,0.82,2.96,294.9,0.714
"Poulter, Ian",Torrey Pines (South),2021,2021-06-20,77,-3.831,-1.87,-1.42,-0.48,293.5,0.643
"Ormsby, Wade",Torrey Pines (South),2021,2021-06-20,72,1.718,1.48,0.21,0.86,285.6,0.5
"Ormsby, Wade",Torrey Pines (South),2021,2021-06-20,74,-0.213,1.18,-0.7,-1.46,288.1,0.857
"Ormsby, Wade",Torrey Pines (South),2021,2021-06-20,73,-0.592,0.84,-1.11,0.86,287.0,0.571
"Ormsby, Wade",Torrey Pines (South),2021,2021-06-20,71,2.169,-0.25,2.0,0.54,289.4,0.786
"Reavie, Chez",Torrey Pines (South),2021,2021-06-20,76,-2.282,1.65,-1.36,-2.89,288.5,0.643
"Reavie, Chez",Torrey Pines (South),2021,2021-06-20,68,5.787,3.09,1.35,-0.03,289.4,0.929
"Reavie, Chez",Torrey Pines (South),2021,2021-06-20,72,0.408,-1.59,2.96,-0.21,285.5,0.714
"Reavie, Chez",Torrey Pines (South),2021,2021-06-20,74,-0.831,1.88,-1.25,-0.96,285.3,0.714
"Hadwin, Adam",Torrey Pines (South),2021,2021-06-20,70,3.718,1.62,0.4,2.37,293.7,0.643
"Hadwin, Adam",Torrey Pines (South),2021,2021-06-20,72,1.787,-1.07,1.32,0.98,295.4,0.643
"Hadwin, Adam",Torrey Pines (South),2021,2021-06-20,75,-2.592,-2.68,-1.49,3.39,293.8,0.5
"Hadwin, Adam",Torrey Pines (South),2021,2021-06-20,73,0.169,-0.66,-0.23,1.54,298.8,0.357
"Kim, Si Woo",Torrey Pines (South),2021,2021-06-20,71,2.718,2.52,0.21,-0.58,300.2,0.571
"Kim, Si Woo",Torrey Pines (South),2021,2021-06-20,75,-1.213,0.63,-1.32,-1.3,301.7,0.643
"Kim, Si Woo",Torrey Pines (South),2021,2021-06-20,70,2.408,-0.42,0.48,0.52,307.4,0.857
"Kim, Si Woo",Torrey Pines (South),2021,2021-06-20,74,-0.831,-0.26,0.36,-1.19,301.7,0.571
"Poston, J.T.",Torrey Pines (South),2021,2021-06-20,72,1.718,2.11,-1.05,0.97,293.0,0.571
"Poston, J.T.",Torrey Pines (South),2021,2021-06-20,73,0.787,-1.0,0.71,-0.25,299.4,0.786
"Poston, J.T.",Torrey Pines (South),2021,2021-06-20,71,1.408,-0.9,1.76,1.02,300.3,0.5
"Poston, J.T.",Torrey Pines (South),2021,2021-06-20,74,-0.831,-1.32,-0.63,2.72,296.0,0.214
"Westwood, Lee",Torrey Pines (South),2021,2021-06-20,71,2.718,1.01,-0.68,1.54,300.3,0.643
"Westwood, Lee",Torrey Pines (South),2021,2021-06-20,72,1.787,0.3,-0.06,0.66,302.2,0.714
"Westwood, Lee",Torrey Pines (South),2021,2021-06-20,71,1.408,1.58,0.57,-0.84,301.7,0.5
